manufacturer
Acura
Alfa Romeo
Aston Martin
Audi
BMW
Buick
Cadillac
Chevrolet
Chrysler
Dodge
Ford
Genesis
GMC
Honda
Hyundai
Jeep
Kia
Land Rover
Lexus
Mazda
Mercedes-Benz
Nissan
Subaru
Tesla
Toyota
Volkswagen
Volvo
Isuzu
Scion
Oldsmobile
Freightliner 
International
Maserati
Saab
Lamborghini
Hummer
Suzuki
Mazda
Bentley
